CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000004676798CK;16/05/2021;19;0,184;R
ES0021000004676798CK;16/05/2021;20;1,284;R
ES0021000004676798CK;16/05/2021;21;1,207;R
ES0021000004676798CK;16/05/2021;22;0,328;R
ES0021000004676798CK;16/05/2021;23;1,526;R
ES0021000004676798CK;16/05/2021;24;1,092;R
ES0021000004676798CK;17/05/2021;1;0,092;R
ES0021000004676798CK;17/05/2021;2;0,151;R
ES0021000004676798CK;17/05/2021;3;0,142;R
ES0021000004676798CK;17/05/2021;4;0,081;R
ES0021000004676798CK;17/05/2021;5;0,114;R
ES0021000004676798CK;17/05/2021;6;0,082;R
ES0021000004676798CK;17/05/2021;7;0,893;R
ES0021000004676798CK;17/05/2021;8;0,932;R
ES0021000004676798CK;17/05/2021;9;0,147;R
ES0021000004676798CK;17/05/2021;10;0,089;R
ES0021000004676798CK;17/05/2021;11;0,099;R
ES0021000004676798CK;17/05/2021;12;0,068;R
ES0021000004676798CK;17/05/2021;13;0,085;R
ES0021000004676798CK;17/05/2021;14;0,109;R
ES0021000004676798CK;17/05/2021;15;0,076;R
ES0021000004676798CK;17/05/2021;16;0,081;R
ES0021000004676798CK;17/05/2021;17;0,277;R
ES0021000004676798CK;17/05/2021;18;0,069;R
ES0021000004676798CK;17/05/2021;19;0,12;R
ES0021000004676798CK;17/05/2021;20;0,744;R
ES0021000004676798CK;17/05/2021;21;1,723;R
ES0021000004676798CK;17/05/2021;22;1,374;R
ES0021000004676798CK;17/05/2021;23;1,235;R
ES0021000004676798CK;17/05/2021;24;0,354;R
ES0021000004676798CK;18/05/2021;1;0,257;R
ES0021000004676798CK;18/05/2021;2;0,123;R
ES0021000004676798CK;18/05/2021;3;0,185;R
ES0021000004676798CK;18/05/2021;4;0,185;R
ES0021000004676798CK;18/05/2021;5;0,127;R
ES0021000004676798CK;18/05/2021;6;0,143;R
ES0021000004676798CK;18/05/2021;7;0,132;R
ES0021000004676798CK;18/05/2021;8;0,154;R
ES0021000004676798CK;18/05/2021;9;0,131;R
ES0021000004676798CK;18/05/2021;10;0,148;R
ES0021000004676798CK;18/05/2021;11;0,135;R
ES0021000004676798CK;18/05/2021;12;0,11;R
ES0021000004676798CK;18/05/2021;13;0,144;R
ES0021000004676798CK;18/05/2021;14;0,143;R
